Week,Posts,PostsInWeek
1,Target exclusively released a  StarWars  toy set with ZERO female characters. WhereIsRey   WheresPhasma,4
1,Hasbro Why do you always leave the girl characters out of your toy packs? Seriously Epicfail WhereIsRey  ,4
1,"Oh look they even included some women IN THE BACKGROUND of this  StarWars bed cover, gee thanks Disney WhereIsRey  ?",4
1,osakadaioh1 damn serious. Disney sexist marketing alive and well  StarWars sauagefest WhereIsRey   ?  StarWars TheForceAwakens  StarWars View conversation ,4
2,TheMarySue Who is missing from this picture?   StarWars  TheForceAwakens  WhereIsRey ?,314
2,"Really,  Target ? Exclusive set with no female characters. Again.  WhereIsRey ?",314
2,Hey  Target  No Rey? Why leave out the  girl ?   WhereIsRey    Target    StarWars   girl  like  StarWars   https://instagram.com/p/908wy7pmGr/ ,314
2,"Seriously  Target ,  Hasbro  ?!? You know, the ladies like  StarWars  too. REY's THE LEAD??   WhereIsRey  ",314
2,Seriously  Hasbro ?!?! SERIOUSLY?!?!   WhereIsRey  ,314
2,JennaBusch  Hasbro  Maybe she's with Luke? IKid   WhereIsRey  View conversation ,314
2," Hasbro    StarWars     WhereIsRey   Seriously? No to Rey, Leia, or Phasma in this collection? But yes to a noname trooper? http://legionofleia.com/wpcontent/uploads/2015/11/ StarWars  Hasbro  Target .jpg …",314
2,"Hey,  Target  includes female characters in their exclusives...when they're dinosaurs.   WhereIsRey   Heroic girl ",314
2,"  WhereIsRey   –  Hasbro ,  Target , Are We Really Going to Start   StarWars  ",314
2,"No Rey?  Hasbro , are we really going to start off   StarWars  TheForceAwakensthis way? https://instagram.com/p/94Q28rM8cw/    WhereIsRey  ",314
2,Why is this still a conversation that needs to be had?? She's a main character damnit!!   WhereIsRey  ,314
2,"  WhereIsRey   –  Hasbro ,  Target , Are We Really Going to Start  StarWars  This Way? http://bit.ly/1WN9cSZ   WhereIsRey   –  Hasbro ,  Target , Are We Really Going to Start  StarWars  This Way? http://bit.ly/1WN9cSZ ",314
2,"New   StarWars   movie, new  Hasbro News toy set, and the same old story...  WhereIsRey  WhereIsPhasma HereWeGoAgain",314
2,Rey será la Gamora en los productos de   StarWars  Rey será la Gamora en los productos de   StarWars  TheForceAwakens.   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,  WhereIsRey    Hasbro ?  WhereIsRey    Hasbro ?,314
2,JennaBusch  Hasbro  i can't believe this is happening again.   WhereIsRey  View conversation ,314
2,JennaBusch Women are vital for TheForceAwakensView conversation ,314
2,"I'm really disappointed that we have to ask   WhereIsRey  . Also, wheresblackwidow?I'm really disappointed that we have to ask   WhereIsRey  . Also, wheresblackwidow?",314
2,Hey  Hasbro    WhereIsRey   ? boycott Hasbro ,314
